Ground_truth,predicted,max_diff,local_diff
alive,dead,19.0,17.666666666666668
alive,alive,67.0,53.666666666666664
alive,alive,46.0,40.0
alive,dead,11.0,10.333333333333334
alive,alive,73.0,67.66666666666667
alive,alive,63.0,55.333333333333336
alive,alive,51.0,37.666666666666664
alive,alive,71.0,58.0
alive,dead,12.0,11.666666666666666
alive,alive,64.0,52.333333333333336
alive,alive,56.0,49.333333333333336
alive,alive,71.0,64.66666666666667
alive,alive,25.0,18.333333333333332
alive,alive,57.0,48.333333333333336
alive,dead,12.0,12.0
alive,alive,26.0,25.0
alive,alive,58.0,51.666666666666664
alive,dead,11.0,9.666666666666666
alive,alive,24.0,23.333333333333332
alive,alive,49.0,46.666666666666664
alive,alive,57.0,50.333333333333336
alive,alive,44.0,39.333333333333336
alive,dead,9.0,9.0
alive,alive,27.0,25.0
alive,alive,61.0,50.666666666666664
alive,alive,41.0,36.666666666666664
alive,alive,40.0,39.0
alive,alive,73.0,58.333333333333336
alive,alive,74.0,67.66666666666667
alive,alive,41.0,29.666666666666668
alive,alive,56.0,51.666666666666664
alive,alive,71.0,53.666666666666664
alive,alive,75.0,64.0
alive,alive,78.0,54.333333333333336
alive,alive,66.0,63.333333333333336
alive,dead,12.0,11.0
alive,alive,67.0,62.0
alive,alive,84.0,62.0
alive,dead,12.0,10.666666666666666
alive,dead,12.0,10.333333333333334
alive,alive,59.0,51.0
alive,alive,67.0,61.0
alive,alive,73.0,57.666666666666664
alive,dead,20.0,18.666666666666668
alive,alive,77.0,49.666666666666664
alive,alive,30.0,21.666666666666668
alive,alive,42.0,39.0
alive,alive,23.0,17.666666666666668
alive,alive,69.0,58.333333333333336
alive,dead,16.0,14.0
alive,alive,55.0,41.0
alive,dead,13.0,11.666666666666666
alive,alive,53.0,47.0
alive,dead,13.0,11.0
alive,alive,35.0,26.0
alive,alive,40.0,36.333333333333336
alive,alive,30.0,26.0
alive,dead,11.0,10.333333333333334
alive,alive,53.0,38.666666666666664
alive,alive,40.0,28.666666666666668
alive,alive,62.0,61.0
alive,alive,58.0,50.666666666666664
alive,alive,46.0,42.0
alive,dead,11.0,10.333333333333334
alive,alive,68.0,54.666666666666664
alive,dead,10.0,10.0
alive,dead,11.0,9.666666666666666
alive,dead,12.0,11.0
alive,alive,29.0,25.666666666666668
alive,dead,19.0,15.666666666666666
alive,alive,68.0,64.66666666666667
alive,alive,52.0,40.0
alive,alive,27.0,24.666666666666668
alive,alive,59.0,52.333333333333336
alive,alive,61.0,57.0
alive,dead,13.0,12.666666666666666
alive,alive,68.0,67.66666666666667
alive,alive,69.0,62.333333333333336
alive,dead,15.0,11.666666666666666
alive,dead,18.0,16.333333333333332
alive,dead,13.0,9.666666666666666
alive,alive,65.0,59.666666666666664
alive,alive,60.0,52.0
alive,alive,48.0,45.333333333333336
alive,dead,12.0,10.666666666666666
alive,alive,57.0,41.333333333333336
alive,alive,65.0,54.333333333333336
alive,alive,53.0,46.666666666666664
alive,alive,58.0,44.333333333333336
alive,dead,12.0,10.333333333333334
alive,alive,40.0,36.333333333333336
