Ground_truth,predicted,max_diff,local_diff
alive,alive,42.0,41.333333333333336
alive,alive,22.0,17.666666666666668
alive,alive,52.0,45.0
alive,alive,45.0,35.333333333333336
alive,alive,58.0,41.0
alive,alive,27.0,24.0
alive,alive,79.0,63.0
alive,dead,11.0,9.666666666666666
alive,alive,54.0,44.666666666666664
alive,alive,29.0,26.666666666666668
alive,dead,12.0,11.666666666666666
alive,alive,58.0,54.666666666666664
alive,alive,73.0,69.66666666666667
alive,alive,60.0,49.666666666666664
alive,dead,12.0,11.333333333333334
alive,alive,62.0,42.0
alive,dead,13.0,10.333333333333334
alive,alive,30.0,19.666666666666668
alive,alive,67.0,51.0
alive,dead,12.0,11.333333333333334
alive,alive,72.0,68.33333333333333
alive,dead,12.0,10.666666666666666
alive,dead,14.0,11.666666666666666
alive,dead,13.0,11.333333333333334
alive,alive,69.0,46.0
alive,alive,88.0,63.666666666666664
alive,alive,74.0,67.33333333333333
alive,alive,76.0,61.666666666666664
alive,alive,68.0,60.666666666666664
alive,alive,50.0,40.0
alive,alive,63.0,50.666666666666664
alive,alive,21.0,17.0
alive,alive,54.0,50.0
alive,alive,69.0,57.333333333333336
alive,alive,71.0,57.0
alive,alive,35.0,23.0
alive,alive,63.0,50.666666666666664
alive,alive,58.0,56.333333333333336
alive,alive,40.0,37.333333333333336
alive,dead,10.0,9.666666666666666
alive,alive,69.0,50.333333333333336
alive,alive,49.0,46.666666666666664
alive,alive,69.0,68.0
alive,alive,72.0,65.33333333333333
alive,alive,55.0,52.666666666666664
alive,alive,59.0,49.0
alive,alive,60.0,50.333333333333336
alive,alive,32.0,27.0
alive,alive,59.0,41.666666666666664
alive,alive,69.0,61.0
alive,alive,58.0,50.333333333333336
alive,alive,64.0,61.0
